id	x	y	z
69467	156316	142969	18
69468	156316	142970	18
69469	156316	142971	18
69470	156316	142972	18
69471	156316	142973	18
69472	156316	142974	18
69473	156316	142975	18
69474	156316	142976	18
69475	156316	142977	18
69476	156316	142978	18
69477	156316	142979	18
69478	156316	142980	18
69479	156316	142981	18
69480	156316	142982	18
69481	156316	142983	18
69959	156317	142946	18
69960	156317	142947	18
69961	156317	142948	18
69962	156317	142949	18
69963	156317	142950	18
69964	156317	142951	18
69965	156317	142952	18
69966	156317	142953	18
69967	156317	142954	18
69968	156317	142955	18
69969	156317	142956	18
69970	156317	142957	18
69971	156317	142958	18
69972	156317	142959	18
69973	156317	142960	18
69974	156317	142961	18
69975	156317	142962	18
69976	156317	142963	18
69977	156317	142964	18
69978	156317	142965	18
69979	156317	142966	18
69980	156317	142967	18
69981	156317	142968	18
69982	156317	142969	18
69983	156317	142970	18
69984	156317	142971	18
69985	156317	142972	18
69986	156317	142973	18
69987	156317	142974	18
69988	156317	142975	18
69989	156317	142976	18
69990	156317	142977	18
69991	156317	142978	18
69992	156317	142979	18
69993	156317	142980	18
69994	156317	142981	18
69995	156317	142982	18
69996	156317	142983	18
69997	156317	142984	18
70474	156318	142946	18
70475	156318	142947	18
70476	156318	142948	18
70477	156318	142949	18
70478	156318	142950	18
70479	156318	142951	18
70480	156318	142952	18
70481	156318	142953	18
70482	156318	142954	18
70483	156318	142955	18
70484	156318	142956	18
70485	156318	142957	18
70486	156318	142958	18
70487	156318	142959	18
70488	156318	142960	18
70489	156318	142961	18
70490	156318	142962	18
70491	156318	142963	18
70492	156318	142964	18
70493	156318	142965	18
70494	156318	142966	18
70495	156318	142967	18
70496	156318	142968	18
70497	156318	142969	18
70498	156318	142970	18
70499	156318	142971	18
70500	156318	142972	18
70501	156318	142973	18
70502	156318	142974	18
70503	156318	142975	18
70504	156318	142976	18
70505	156318	142977	18
70506	156318	142978	18
70507	156318	142979	18
70508	156318	142980	18
70509	156318	142981	18
70510	156318	142982	18
70511	156318	142983	18
70512	156318	142984	18
70989	156319	142946	18
70990	156319	142947	18
70991	156319	142948	18
70992	156319	142949	18
70993	156319	142950	18
70994	156319	142951	18
70995	156319	142952	18
70996	156319	142953	18
70997	156319	142954	18
70998	156319	142955	18
70999	156319	142956	18
71000	156319	142957	18
71001	156319	142958	18
71002	156319	142959	18
71003	156319	142960	18
71004	156319	142961	18
71005	156319	142962	18
71006	156319	142963	18
71007	156319	142964	18
71008	156319	142965	18
71009	156319	142966	18
71010	156319	142967	18
71011	156319	142968	18
71012	156319	142969	18
71013	156319	142970	18
71014	156319	142971	18
71015	156319	142972	18
71016	156319	142973	18
71017	156319	142974	18
71018	156319	142975	18
71019	156319	142976	18
71020	156319	142977	18
71021	156319	142978	18
71022	156319	142979	18
